Title, Author, Bestseller Rank, Time On List, Rank Progress, Average GoodReads Rating, Number of GoodReads Ratings, Number of GoodReads Reviews, Number of GoodReads Text Reviews, GoodReads Grand Total Rating (Average Rating * Number of Ratings)
BORN A CRIME,Trevor Noah,1,0,No data to produce rank progress,4.44,3608,13810,627,16019.520000000002
HIDDEN FIGURES,Margot Lee Shetterly,2,0,No data to produce rank progress,3.96,39142,144927,4860,155002.32
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,3,0,No data to produce rank progress,4.40,107452,256703,12075,472788.80000000005
THE NEW JIM CROW,Michelle Alexander,4,0,No data to produce rank progress,4.51,2553,5992,203,11514.029999999999
JUST MERCY,Bryan Stevenson,5,0,No data to produce rank progress,4.62,1942,4038,286,8972.04
MARCH TRILOGY,"John Lewis, Andrew Aydin and Nate Powell",6,0,No data to produce rank progress,4.77,601,1560,91,2866.7699999999995
MARCH: BOOK 1,"John Lewis, Andrew Aydin and Nate Powell",7,0,No data to produce rank progress,4.34,27718,59103,3579,120296.12
MISADVENTURES OF AWKWARD BLACK GIRL,Issa Rae,8,0,No data to produce rank progress,3.74,22,43,8,82.28
YOU CAN'T TOUCH MY HAIR,Phoebe Robinson,9,0,No data to produce rank progress,3.86,10201,44818,1332,39375.86
STAMPED FROM THE BEGINNING,Ibram X Kendi,10,0,No data to produce rank progress,4.56,2439,21558,515,11121.839999999998
